Step,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/reward,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/reward__MIN,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/reward__MAX,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/reward,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/reward__MIN,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/reward__MAX,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/reward,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/reward__MIN,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/reward__MAX,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/reward,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/reward__MIN,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/reward__MAX,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward__MIN,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward__MAX,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward__MIN,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward__MAX,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/reward,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/reward__MIN,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/reward__MAX
0,0.44141554832458496,0.44141554832458496,0.44141554832458496,0.39699411392211914,0.39699411392211914,0.39699411392211914,0.04292415827512741,0.04292415827512741,0.04292415827512741,0.042928289622068405,0.042928289622068405,0.042928289622068405,0.44141554832458496,0.44141554832458496,0.44141554832458496,0.04292415827512741,0.04292415827512741,0.04292415827512741,0.04207129403948784,0.04207129403948784,0.04207129403948784
50048,0.3444533348083496,0.3444533348083496,0.3444533348083496,0.398673951625824,0.398673951625824,0.398673951625824,0.3124496340751648,0.3124496340751648,0.3124496340751648,0.2885040044784546,0.2885040044784546,0.2885040044784546,0.3853188157081604,0.3853188157081604,0.3853188157081604,0.34814637899398804,0.34814637899398804,0.34814637899398804,0.3408339023590088,0.3408339023590088,0.3408339023590088
100032,0.43022024631500244,0.43022024631500244,0.43022024631500244,0.42581310868263245,0.42581310868263245,0.42581310868263245,0.449798047542572,0.449798047542572,0.449798047542572,0.4131074845790863,0.4131074845790863,0.4131074845790863,0.4491148591041565,0.4491148591041565,0.4491148591041565,0.3955128788948059,0.3955128788948059,0.3955128788948059,0.41322797536849976,0.41322797536849976,0.41322797536849976
150016,0.48010897636413574,0.48010897636413574,0.48010897636413574,0.47258374094963074,0.47258374094963074,0.47258374094963074,0.44358164072036743,0.44358164072036743,0.44358164072036743,0.4480689465999603,0.4480689465999603,0.4480689465999603,0.5002402067184448,0.5002402067184448,0.5002402067184448,0.4255649745464325,0.4255649745464325,0.4255649745464325,0.4583073854446411,0.4583073854446411,0.4583073854446411
200000,0.46018773317337036,0.46018773317337036,0.46018773317337036,0.541017472743988,0.541017472743988,0.541017472743988,0.4911994934082031,0.4911994934082031,0.4911994934082031,0.48424023389816284,0.48424023389816284,0.48424023389816284,0.582938015460968,0.582938015460968,0.582938015460968,0.4916871190071106,0.4916871190071106,0.4916871190071106,0.4661276936531067,0.4661276936531067,0.4661276936531067
250048,0.47648346424102783,0.47648346424102783,0.47648346424102783,0.5747723579406738,0.5747723579406738,0.5747723579406738,0.48105287551879883,0.48105287551879883,0.48105287551879883,0.47694826126098633,0.47694826126098633,0.47694826126098633,0.5832475423812866,0.5832475423812866,0.5832475423812866,0.46157246828079224,0.46157246828079224,0.46157246828079224,0.4535124897956848,0.4535124897956848,0.4535124897956848
300032,0.5953624248504639,0.5953624248504639,0.5953624248504639,0.6437284350395203,0.6437284350395203,0.6437284350395203,0.5323659777641296,0.5323659777641296,0.5323659777641296,0.5213863849639893,0.5213863849639893,0.5213863849639893,0.5947068333625793,0.5947068333625793,0.5947068333625793,0.46481257677078247,0.46481257677078247,0.46481257677078247,0.46581780910491943,0.46581780910491943,0.46581780910491943
350016,0.5346125960350037,0.5346125960350037,0.5346125960350037,0.6125972867012024,0.6125972867012024,0.6125972867012024,0.5180806517601013,0.5180806517601013,0.5180806517601013,0.4739585816860199,0.4739585816860199,0.4739585816860199,0.6219490766525269,0.6219490766525269,0.6219490766525269,0.4788323640823364,0.4788323640823364,0.4788323640823364,0.46664947271347046,0.46664947271347046,0.46664947271347046
400000,0.6077080965042114,0.6077080965042114,0.6077080965042114,0.632762610912323,0.632762610912323,0.632762610912323,0.5561400055885315,0.5561400055885315,0.5561400055885315,0.6238601207733154,0.6238601207733154,0.6238601207733154,0.607595682144165,0.607595682144165,0.607595682144165,0.5138874053955078,0.5138874053955078,0.5138874053955078,0.49984073638916016,0.49984073638916016,0.49984073638916016
450048,0.605293333530426,0.605293333530426,0.605293333530426,0.605973482131958,0.605973482131958,0.605973482131958,0.5888923406600952,0.5888923406600952,0.5888923406600952,0.6057900190353394,0.6057900190353394,0.6057900190353394,0.6250249147415161,0.6250249147415161,0.6250249147415161,0.5876153707504272,0.5876153707504272,0.5876153707504272,0.5701472759246826,0.5701472759246826,0.5701472759246826
500032,0.6345459222793579,0.6345459222793579,0.6345459222793579,0.6351479291915894,0.6351479291915894,0.6351479291915894,0.5790576338768005,0.5790576338768005,0.5790576338768005,0.619105339050293,0.619105339050293,0.619105339050293,0.6339541673660278,0.6339541673660278,0.6339541673660278,0.5817605257034302,0.5817605257034302,0.5817605257034302,0.5995103716850281,0.5995103716850281,0.5995103716850281
550016,0.5895366668701172,0.5895366668701172,0.5895366668701172,0.6798640489578247,0.6798640489578247,0.6798640489578247,0.6201831102371216,0.6201831102371216,0.6201831102371216,0.6109427213668823,0.6109427213668823,0.6109427213668823,0.7002211213111877,0.7002211213111877,0.7002211213111877,0.6126409769058228,0.6126409769058228,0.6126409769058228,0.5280699729919434,0.5280699729919434,0.5280699729919434
