Step,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward__MIN,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/reward__MAX,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward__MIN,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/reward__MAX,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/reward,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/reward__MIN,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/reward__MAX,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/reward,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/reward__MIN,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/reward__MAX,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/reward,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/reward__MIN,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/reward__MAX,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/reward,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/reward__MIN,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/reward__MAX,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/reward,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/reward__MIN,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/reward__MAX
0,0.7426362037658691,0.7426362037658691,0.7426362037658691,0.0474095344543457,0.0474095344543457,0.0474095344543457,0.0474095344543457,0.0474095344543457,0.0474095344543457,0.7515270709991455,0.7515270709991455,0.7515270709991455,0.7419697642326355,0.7419697642326355,0.7419697642326355,0.04740334302186966,0.04740334302186966,0.04740334302186966,0.04740334302186966,0.04740334302186966,0.04740334302186966
50048,0.37029582262039185,0.37029582262039185,0.37029582262039185,0.17925332486629486,0.17925332486629486,0.17925332486629486,0.25504475831985474,0.25504475831985474,0.25504475831985474,0.41943082213401794,0.41943082213401794,0.41943082213401794,0.34605395793914795,0.34605395793914795,0.34605395793914795,0.26339441537857056,0.26339441537857056,0.26339441537857056,0.26469331979751587,0.26469331979751587,0.26469331979751587
100032,0.6325467824935913,0.6325467824935913,0.6325467824935913,0.3602108955383301,0.3602108955383301,0.3602108955383301,0.3543985188007355,0.3543985188007355,0.3543985188007355,0.6727126836776733,0.6727126836776733,0.6727126836776733,0.6641753315925598,0.6641753315925598,0.6641753315925598,0.3914909064769745,0.3914909064769745,0.3914909064769745,0.3959134817123413,0.3959134817123413,0.3959134817123413
150016,0.7369815111160278,0.7369815111160278,0.7369815111160278,0.42145106196403503,0.42145106196403503,0.42145106196403503,0.4841272532939911,0.4841272532939911,0.4841272532939911,0.7610327005386353,0.7610327005386353,0.7610327005386353,0.6373745203018188,0.6373745203018188,0.6373745203018188,0.6711374521255493,0.6711374521255493,0.6711374521255493,0.4454725384712219,0.4454725384712219,0.4454725384712219
200000,0.7852175235748291,0.7852175235748291,0.7852175235748291,0.5297472476959229,0.5297472476959229,0.5297472476959229,0.6858046054840088,0.6858046054840088,0.6858046054840088,0.8148221969604492,0.8148221969604492,0.8148221969604492,0.7776408195495605,0.7776408195495605,0.7776408195495605,0.7418297529220581,0.7418297529220581,0.7418297529220581,0.7645704746246338,0.7645704746246338,0.7645704746246338
250048,0.7391424179077148,0.7391424179077148,0.7391424179077148,0.7279826402664185,0.7279826402664185,0.7279826402664185,0.7537064552307129,0.7537064552307129,0.7537064552307129,0.7776752710342407,0.7776752710342407,0.7776752710342407,0.733613133430481,0.733613133430481,0.733613133430481,0.7429931163787842,0.7429931163787842,0.7429931163787842,0.7682366371154785,0.7682366371154785,0.7682366371154785
300032,0.7403061985969543,0.7403061985969543,0.7403061985969543,0.7777349948883057,0.7777349948883057,0.7777349948883057,0.724564790725708,0.724564790725708,0.724564790725708,0.7895532250404358,0.7895532250404358,0.7895532250404358,0.788506031036377,0.788506031036377,0.788506031036377,0.7194641828536987,0.7194641828536987,0.7194641828536987,0.6732542514801025,0.6732542514801025,0.6732542514801025
350016,0.7643875479698181,0.7643875479698181,0.7643875479698181,0.8012385368347168,0.8012385368347168,0.8012385368347168,0.7911086678504944,0.7911086678504944,0.7911086678504944,0.7965182662010193,0.7965182662010193,0.7965182662010193,0.8002476692199707,0.8002476692199707,0.8002476692199707,0.8049402236938477,0.8049402236938477,0.8049402236938477,0.7740352153778076,0.7740352153778076,0.7740352153778076
400000,0.7713213562965393,0.7713213562965393,0.7713213562965393,0.7099114656448364,0.7099114656448364,0.7099114656448364,0.742790162563324,0.742790162563324,0.742790162563324,0.7805811166763306,0.7805811166763306,0.7805811166763306,0.7221291065216064,0.7221291065216064,0.7221291065216064,0.7491183280944824,0.7491183280944824,0.7491183280944824,0.8054393529891968,0.8054393529891968,0.8054393529891968
450048,0.7824918031692505,0.7824918031692505,0.7824918031692505,0.7853603959083557,0.7853603959083557,0.7853603959083557,0.7695841789245605,0.7695841789245605,0.7695841789245605,0.7435340881347656,0.7435340881347656,0.7435340881347656,0.7860591411590576,0.7860591411590576,0.7860591411590576,0.7690886855125427,0.7690886855125427,0.7690886855125427,0.6822913885116577,0.6822913885116577,0.6822913885116577
